NDC,ATC
EQL VITAMIN B-12 500 MCG TAB,VITAMIN B<n>12</n> AND FOLIC ACID
Hydromorphone Hydrochloride 2 MG Oral Tablet [Dilaudid],OPIOID ANALGESICS
lamotrigine 25 MG Oral Tablet [Lamictal],ANTIEPILEPTICS
12 HR bupropion hydrochloride 100 MG Extended Release Oral Tablet,ANTIDEPRESSANTS
24 HR amphetamine aspartate 5 MG / amphetamine sulfate 5 MG / dextroamphetamine saccharate 5 MG / dextroamphetamine sulfate 5 MG Extended Release Oral Capsule,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS"
2 ML naloxone hydrochloride 1 MG/ML Prefilled Syringe,DRUGS FOR CONSTIPATION
buprenorphine 2 MG Sublingual Tablet,OPIOID ANALGESICS
10 ML fluorouracil 50 MG/ML Injection,ANTIMETABOLITES
Levetiracetam 250 MG Oral Tablet,ANTIEPILEPTICS
zonisamide 25 MG Oral Capsule,ANTIEPILEPTICS
pramoxine 0.01 MG/MG / Zinc Oxide 0.125 MG/MG Topical Ointment [Anusol],AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
10 ML Nicardipine hydrochloride 2.5 MG/ML Injection [Cardene],SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
Nimodipine 30 MG Oral Capsule,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
Acebutolol Hydrochloride 200 MG Oral Capsule [Sectral],BETA BLOCKING AGENTS
24 HR Glipizide 10 MG Extended Release Oral Tablet,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
paroxetine hydrochloride 20 MG Oral Tablet,ANTIDEPRESSANTS
nimodipine 30 MG Oral Capsule,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
dexamethasone 0.5 MG Oral Tablet,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
fexofenadine hydrochloride 60 MG Oral Tablet,ANTIHISTAMINES FOR SYSTEMIC USE
5 ML Levetiracetam 100 MG/ML Injection,ANTIEPILEPTICS
glycerin 2100 MG Rectal Suppository,DRUGS FOR CONSTIPATION
Glyburide 5 MG Oral Tablet [Diabeta],"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
4 ML norepinephrine 1 MG/ML Injection,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
Midazolam 5 MG/ML Injectable Solution,HYPNOTICS AND SEDATIVES
Aztreonam 40 MG/ML Injectable Solution [Azactam],OTHER BETA-LACTAM ANTIBACTERIALS in ATC
colistin 75 MG/ML Injectable Solution,OTHER ANTIBACTERIALS in ATC
4 ML amikacin 250 MG/ML Injection,AMINOGLYCOSIDE ANTIBACTERIALS
2 ML adenosine 3 MG/ML Injection,OTHER CARDIAC PREPARATIONS in ATC
2 ML Enalaprilat 1.25 MG/ML Injection,"ACE INHIBITORS, PLAIN"
1 ML midazolam 5 MG/ML Injection,HYPNOTICS AND SEDATIVES
enalapril maleate 5 MG Oral Tablet,"ACE INHIBITORS, PLAIN"
alanine 8.8 MG/ML / arginine 4.89 MG/ML / calcium chloride 0.004 MEQ/ML / dibasic potassium phosphate 2.61 MG/ML / glucose 50 MG/ML / glycine 4.38 MG/ML / histidine 2.04 MG/ML / isoleucine 2.55 MG/ML / leucine 3.11 MG/ML / lysine 2.47 MG/ML / magnesium...,"IV solutions used in parenteral administration of fluids, electrolytes and nutrients"
diltiazem hydrochloride 60 MG Oral Tablet,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS
Mineral Oil 1000 MG/ML Oral Solution,DRUGS FOR CONSTIPATION
Methylprednisolone 62.5 MG/ML Injectable Solution [Solu-Medrol],"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
1 ML chlorpromazine hydrochloride 25 MG/ML Injection,ANTIPSYCHOTICS
Methadone Hydrochloride 10 MG/ML Injectable Solution,DRUGS USED IN ADDICTIVE DISORDERS
Aztreonam 20 MG/ML Injectable Solution [Azactam],OTHER BETA-LACTAM ANTIBACTERIALS in ATC
Methylnaltrexone bromide 20 MG/ML Injectable Solution [Relistor],DRUGS FOR CONSTIPATION
quetiapine 50 MG Oral Tablet [Seroquel],ANTIPSYCHOTICS
5 ML levetiracetam 100 MG/ML Injection [Keppra],ANTIEPILEPTICS
Famotidine 20 MG Oral Tablet,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
1 ML medroxyprogesterone acetate 150 MG/ML Injection,PROGESTOGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
Losartan Potassium 50 MG Oral Tablet [Cozaar],"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN"
paroxetine hydrochloride 10 MG Oral Tablet,ANTIDEPRESSANTS
Paroxetine 12.5 MG Extended Release Tablet [Paxil],ANTIDEPRESSANTS
paroxetine hydrochloride 30 MG Oral Tablet,ANTIDEPRESSANTS
cisatracurium 2 MG/ML Injectable Solution,"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS"
5 ML Lidocaine Hydrochloride 20 MG/ML Prefilled Syringe,"ANTIARRHYTHMICS, CLASS I AND III"
opium tincture 100 MG/ML Oral Solution,OPIOID ANALGESICS
2 ML enalaprilat 1.25 MG/ML Injection,"ACE INHIBITORS, PLAIN"
dronabinol 2.5 MG Oral Capsule,ANTIEMETICS AND ANTINAUSEANTS
doxazosin 4 MG Oral Tablet,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING"
Psyllium 1700 MG Oral Wafer [Metamucil],ALL OTHER THERAPEUTIC PRODUCTS
esomeprazole 40 MG Injection,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
levothyroxine sodium 0.088 MG Oral Tablet [Synthroid],THYROID PREPARATIONS
hydroxyurea 500 MG Oral Capsule,OTHER ANTINEOPLASTIC AGENTS in ATC
Clonazepam 0.5 MG Oral Tablet,ANTIEPILEPTICS
100 ML ciprofloxacin 2 MG/ML Injection,QUINOLONE ANTIBACTERIALS
50 ML clindamycin 12 MG/ML Injection [Cleocin],"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS"
Silver Sulfadiazine 10 MG/ML Topical Cream [SSD],CHEMOTHERAPEUTICS FOR TOPICAL USE
Divalproex Sodium 500 MG Delayed Release Oral Tablet,ANTIEPILEPTICS
Divalproex Sodium 250 MG Delayed Release Oral Tablet,ANTIEPILEPTICS
150 ML levofloxacin 5 MG/ML Injection,QUINOLONE ANTIBACTERIALS
1 ML epoetin alfa 4000 UNT/ML Injection [Procrit],OTHER ANTIANEMIC PREPARATIONS in ATC
epoetin alfa 20000 UNT/ML Injectable Solution [Epogen],OTHER ANTIANEMIC PREPARATIONS in ATC
Sodium ferric gluconate complex 12.5 MG/ML Injectable Solution [Nulecit],ALL OTHER THERAPEUTIC PRODUCTS
1 ML epoetin alfa 2000 UNT/ML Injection [Procrit],OTHER ANTIANEMIC PREPARATIONS in ATC
venlafaxine 25 MG Oral Tablet [Effexor],ANTIDEPRESSANTS
Amoxicillin 50 MG/ML / clavulanate potassium 12.5 MG/ML Oral Suspension [Augmentin],"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
POLYETHYLENE GLYCOL 3350 60 MG/ML / Potassium Chloride 0.01 MEQ/ML / Sodium Bicarbonate 0.02 MEQ/ML / Sodium Chloride 0.025 MEQ/ML / sodium sulfate 0.04 MEQ/ML Oral Solution [Colyte],DRUGS FOR CONSTIPATION
nimodipine 3 MG/ML Oral Solution [Nymalize],SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
dabigatran etexilate 150 MG Oral Capsule [Pradaxa],ANTITHROMBOTIC AGENTS
olanzapine 10 MG Oral Tablet,ANTIPSYCHOTICS
bumetanide 0.25 MG/ML Injectable Solution,HIGH-CEILING DIURETICS
digoxin 0.25 MG Oral Tablet,CARDIAC GLYCOSIDES
alanine 10.4 MG/ML / arginine 5.75 MG/ML / calcium chloride 0.004 MEQ/ML / dibasic potassium phosphate 2.61 MG/ML / glucose 150 MG/ML / glycine 5.15 MG/ML / histidine 2.4 MG/ML / isoleucine 3 MG/ML / leucine 3.65 MG/ML / lysine 2.9 MG/ML / magnesium ch...,"IV solutions used in parenteral administration of fluids, electrolytes and nutrients"
alpha-tocopherol acetate 1 UNT/ML / ascorbic acid 20 MG/ML / biotin 0.006 MG/ML / cholecalciferol 20 UNT/ML / dexpanthenol 1.5 MG/ML / folic acid 0.06 MG/ML / niacinamide 4 MG/ML / pyridoxine hydrochloride 0.6 MG/ML / riboflavin 0.36 MG/ML / thiamine h...,VITAMIN B<n>12</n> AND FOLIC ACID
racepinephrine 22.5 MG/ML Inhalation Solution [S-2],ALL OTHER THERAPEUTIC PRODUCTS
2 ML benztropine mesylate 1 MG/ML Injection,ANTICHOLINERGIC AGENTS
amantadine hydrochloride 10 MG/ML Oral Solution,DOPAMINERGIC AGENTS
amantadine hydrochloride 100 MG Oral Capsule,DOPAMINERGIC AGENTS
Atropine Sulfate 10 MG/ML Ophthalmic Solution [Isopto Atropine],MYDRIATICS AND CYCLOPLEGICS
Bacitracin 0.5 UNT/MG / Polymyxin B 10 UNT/MG Ophthalmic Ointment,"ANTIINFECTIVES, OPHTHALMOLOGIC AND OTOLOGIC"
bupropion hydrochloride 100 MG Oral Tablet,ANTIDEPRESSANTS
bupropion hydrochloride 75 MG Oral Tablet,ANTIDEPRESSANTS
atovaquone 150 MG/ML Oral Suspension,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES
triamcinolone acetonide 0.001 MG/MG Topical Ointment,"CORTICOSTEROID DERMATOLOGICAL PREPARATIONS, PLAIN"
1 ML enoxaparin sodium 150 MG/ML Prefilled Syringe,ANTITHROMBOTIC AGENTS
miconazole nitrate 20 MG/ML Vaginal Cream,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS"
ketamine 100 MG/ML Injectable Solution,"ANESTHETICS, GENERAL"
tetracaine hydrochloride 5 MG/ML Ophthalmic Solution,"Local anesthetics, ophthalmologic"
Risperidone 0.25 MG Oral Tablet,ANTIPSYCHOTICS
olmesartan medoxomil 20 MG Oral Tablet [Benicar],"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN"
calcium carbonate 250 MG/ML Oral Suspension,OTHER ANTIDIARRHEALS in ATC
valsartan 160 MG Oral Tablet,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN"
docosahexaenoic acid 1000 MG / Omega-3 Acid Ethyl Esters (USP) 300 MG Delayed Release Oral Capsule,"LIPID MODIFYING AGENTS, PLAIN"
2 ML iron-dextran complex 50 MG/ML Injection [InFed],ALL OTHER THERAPEUTIC PRODUCTS
ampicillin 1000 MG / sulbactam 500 MG Injection,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
Acetazolamide 500 MG Injection,ANTIGLAUCOMA PREPARATIONS AND MIOTICS
magnesium chloride 0.00148 MEQ/ML / potassium chloride 0.00497 MEQ/ML / sodium acetate 0.027 MEQ/ML / sodium chloride 0.0899 MEQ/ML / sodium gluconate 5.02 MG/ML Injectable Solution [Plasmalyte A],POTASSIUM SUPPLEMENTS
Hydralazine Hydrochloride 25 MG Oral Tablet,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON"
ramipril 5 MG Oral Capsule,"ACE INHIBITORS, PLAIN"
"heparin sodium, porcine 10 UNT/ML Injectable Solution",ANTITHROMBOTIC AGENTS
Vitamin B6 50 MG Oral Tablet,OTHER PLAIN VITAMIN PREPARATIONS in ATC
carbamide peroxide 65 MG/ML Otic Solution,ALL OTHER THERAPEUTIC PRODUCTS
2 ML bumetanide 0.25 MG/ML Injection,HIGH-CEILING DIURETICS
ethacrynic acid 25 MG Oral Tablet [Edecrin],HIGH-CEILING DIURETICS
cisatracurium 2 MG/ML Injectable Solution [Nimbex],"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS"
cinacalcet 30 MG Oral Tablet [Sensipar],ANTI-PARATHYROID AGENTS
torsemide 100 MG Oral Tablet [Demadex],HIGH-CEILING DIURETICS
1 ML epoetin alfa 10000 UNT/ML Injection [Procrit],OTHER ANTIANEMIC PREPARATIONS in ATC
methadone hydrochloride 40 MG Tablet for Oral Suspension,DRUGS USED IN ADDICTIVE DISORDERS
sirolimus 0.5 MG Oral Tablet [Rapamune],IMMUNOSUPPRESSANTS
2 ML fosphenytoin sodium 75 MG/ML Injection,ANTIEPILEPTICS
10 ML nicardipine hydrochloride 2.5 MG/ML Injection,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
sitagliptin 100 MG Oral Tablet [Januvia],"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
aripiprazole 10 MG Oral Tablet,ANTIPSYCHOTICS
aripiprazole 2 MG Oral Tablet,ANTIPSYCHOTICS
clotrimazole 10 MG/ML Topical Cream,ANTIFUNGALS FOR TOPICAL USE
20 ML oxaliplatin 5 MG/ML Injection,OTHER ANTINEOPLASTIC AGENTS in ATC
1 ML atropine sulfate 0.4 MG/ML Injection,"BELLADONNA AND DERIVATIVES CONTAINING DRUGS, PLAIN FOR FUNCTIONAL GASTROINTESTINAL DISORDERS"
fluorouracil 50 MG/ML Injectable Solution,ANTIMETABOLITES
leucovorin 350 MG Injection,ALL OTHER THERAPEUTIC PRODUCTS
5 ML irinotecan hydrochloride 20 MG/ML Injection,"PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS, ANTINEOPLASTIC DRUGS"
0.6 ML pegfilgrastim 10 MG/ML Prefilled Syringe [Neulasta],IMMUNOSTIMULANTS
4 ML clindamycin 150 MG/ML Injection,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS"
levothyroxine sodium 0.2 MG Injection,THYROID PREPARATIONS
lansoprazole 30 MG Disintegrating Tablet [Prevacid SoluTab],DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
rivastigmine 3 MG Oral Capsule [Exelon],ANTI-DEMENTIA DRUGS
naphazoline hydrochloride 0.25 MG/ML / pheniramine maleate 3 MG/ML Ophthalmic Solution [Naphcon A],"ANTIINFECTIVES, OPHTHALMOLOGIC AND OTOLOGIC"
250 ML dobutamine 1 MG/ML Injection,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
Ciprofloxacin 2 MG/ML Injectable Solution [Cipro I.V.],QUINOLONE ANTIBACTERIALS
ertapenem 1000 MG Injection,OTHER BETA-LACTAM ANTIBACTERIALS in ATC
5 ML hydromorphone hydrochloride 10 MG/ML Injection,OPIOID ANALGESICS
24 HR propranolol hydrochloride 120 MG Extended Release Oral Capsule,BETA BLOCKING AGENTS
Propranolol Hydrochloride 10 MG Oral Tablet,BETA BLOCKING AGENTS
pioglitazone 45 MG Oral Tablet [Actos],"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
Acyclovir 50 MG/ML Injectable Solution [Zovirax],DIRECT ACTING ANTIVIRALS
isosorbide dinitrate 5 MG Oral Tablet,VASODILATORS USED IN CARDIAC DISEASES
Isosorbide Dinitrate 40 MG Extended Release Oral Tablet,VASODILATORS USED IN CARDIAC DISEASES
donepezil hydrochloride 10 MG Oral Tablet,ANTI-DEMENTIA DRUGS
memantine hydrochloride 5 MG Oral Tablet,ANTI-DEMENTIA DRUGS
memantine hydrochloride 10 MG Oral Tablet,ANTI-DEMENTIA DRUGS
ruxolitinib 5 MG Oral Tablet [Jakafi],"PROTEIN KINASE INHIBITORS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS"
oxcarbazepine 60 MG/ML Oral Suspension,ANTIEPILEPTICS
0.3 ML enoxaparin sodium 100 MG/ML Prefilled Syringe,ANTITHROMBOTIC AGENTS
Aspirin 325 MG Oral Tablet [Ascriptin],OTHER ANALGESICS AND ANTIPYRETICS in ATC
Riluzole 50 MG Oral Tablet [Rilutek],OTHER NERVOUS SYSTEM DRUGS in ATC
Meclizine Hydrochloride 12.5 MG Oral Tablet,ANTIHISTAMINES FOR SYSTEMIC USE
verapamil hydrochloride 180 MG Extended Release Oral Tablet,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS
72 HR fentanyl 0.1 MG/HR Transdermal System,OPIOID ANALGESICS
bicalutamide 50 MG Oral Tablet [Casodex],HORMONE ANTAGONISTS AND RELATED AGENTS
Carbidopa 25 MG / Levodopa 100 MG Oral Tablet,DOPAMINERGIC AGENTS
Nitroglycerin 0.4 MG Sublingual Tablet [Nitroquick],VASODILATORS USED IN CARDIAC DISEASES
metoclopramide 10 MG Oral Tablet,PROPULSIVES
medroxyprogesterone acetate 10 MG Oral Tablet,PROGESTOGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
ezetimibe 10 MG Oral Tablet,"LIPID MODIFYING AGENTS, PLAIN"
galantamine 4 MG Oral Tablet [Razadyne],ANTI-DEMENTIA DRUGS
Timolol 2.5 MG/ML Ophthalmic Solution,ANTIGLAUCOMA PREPARATIONS AND MIOTICS
isoniazid 300 MG Oral Tablet,DRUGS FOR TREATMENT OF TUBERCULOSIS
12 HR ranolazine 500 MG Extended Release Tablet [Ranexa],OTHER CARDIAC PREPARATIONS in ATC
Isosorbide Dinitrate 5 MG Oral Tablet,VASODILATORS USED IN CARDIAC DISEASES
1 ML atropine sulfate 1 MG/ML Injection,"BELLADONNA AND DERIVATIVES CONTAINING DRUGS, PLAIN FOR FUNCTIONAL GASTROINTESTINAL DISORDERS"
Isosorbide Mononitrate 20 MG Oral Tablet [Ismo],VASODILATORS USED IN CARDIAC DISEASES
sotalol hydrochloride 80 MG Oral Tablet,BETA BLOCKING AGENTS
12 HR ranolazine 500 MG Extended Release Oral Tablet [Ranexa],OTHER CARDIAC PREPARATIONS in ATC
duloxetine 20 MG Delayed Release Oral Capsule,ANTIDEPRESSANTS
duloxetine 20 MG Delayed Release Oral Capsule [Cymbalta],ANTIDEPRESSANTS
promethazine hydrochloride 25 MG Rectal Suppository,ANTIHISTAMINES FOR SYSTEMIC USE
oseltamivir 30 MG Oral Capsule [Tamiflu],DIRECT ACTING ANTIVIRALS
Propranolol Hydrochloride 40 MG Oral Tablet,BETA BLOCKING AGENTS
methylprednisolone 62.5 MG/ML Injectable Solution [Solu-Medrol],"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
methylprednisolone 500 MG Injection [Solu-Medrol],"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
500 ML mannitol 200 MG/ML Injection [Osmitrol],"IV solutions used in parenteral administration of fluids, electrolytes and nutrients"
500 ML sodium chloride 30 MG/ML Injection,I.V. SOLUTION ADDITIVES
30 ML Sodium Chloride 234 MG/ML Injection,I.V. SOLUTION ADDITIVES
dofetilide 0.125 MG Oral Capsule [Tikosyn],"ANTIARRHYTHMICS, CLASS I AND III"
quinidine gluconate 324 MG Extended Release Oral Tablet,"ANTIARRHYTHMICS, CLASS I AND III"
Carisoprodol 350 MG Oral Tablet,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS"
0.8 ML adalimumab 50 MG/ML Prefilled Syringe [Humira],IMMUNOSUPPRESSANTS
VOLUMEN 0.1% SUSPENSION,ALL OTHER THERAPEUTIC PRODUCTS
24 HR venlafaxine 150 MG Extended Release Oral Capsule,ANTIDEPRESSANTS
vitamin B6 50 MG Oral Tablet,OTHER PLAIN VITAMIN PREPARATIONS in ATC
Oxytocin 0.06 UNT/ML Injectable Solution,ALL OTHER THERAPEUTIC PRODUCTS
Glucose 50 MG/ML Injectable Solution,OTHER NUTRIENTS in ATC
50 ML potassium chloride 0.2 MEQ/ML Injection,I.V. SOLUTION ADDITIVES
Sulfamethoxazole 40 MG/ML / Trimethoprim 8 MG/ML Oral Suspension [Sulfatrim],SULFONAMIDES AND TRIMETHOPRIM ANTIBACTERIALS FOR SYSTEMIC USE
Verapamil hydrochloride 120 MG Oral Tablet [Isoptin],SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS
20 ML cisatracurium 10 MG/ML Injection [Nimbex],"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS"
5 ML cisatracurium 2 MG/ML Injection [Nimbex],"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS"
2.5 ML argatroban 100 MG/ML Injection,ANTITHROMBOTIC AGENTS
triamterene 50 MG Oral Capsule [Dyrenium],POTASSIUM-SPARING DIURETICS
Carbamazepine 200 MG Oral Tablet,ANTIEPILEPTICS
verapamil hydrochloride 240 MG Extended Release Oral Tablet,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS
Verapamil hydrochloride 240 MG Extended Release Oral Tablet,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS
tolterodine tartrate 2 MG Oral Tablet [Detrol],UROLOGICALS
dexamethasone 1 MG/ML Ophthalmic Suspension [Maxidex],"ANTIINFLAMMATORY AGENTS, OPHTHALMOLOGIC"
ketoconazole 20 MG/ML Medicated Shampoo,ANTIFUNGALS FOR TOPICAL USE
Morphine Sulfate 20 MG/ML Oral Solution [Roxanol],OPIOID ANALGESICS
Acyclovir 400 MG Oral Tablet [Zovirax],DIRECT ACTING ANTIVIRALS
epinephrine 0.01 MG/ML / lidocaine hydrochloride 20 MG/ML Injectable Solution,LOCAL ANESTHETICS
epinephrine 0.01 MG/ML / lidocaine hydrochloride 10 MG/ML Injectable Solution [Xylocaine with Epinephrine],LOCAL ANESTHETICS
nicotine 4 MG Oral Lozenge [Nicorette],DRUGS USED IN ADDICTIVE DISORDERS
"insulin, regular, human 100 UNT/ML Injectable Solution [Novolin R]",INSULINS AND ANALOGUES
valproic acid 250 MG Oral Capsule [Depakene],ANTIEPILEPTICS
50 ML clevidipine 0.5 MG/ML Injection [Cleviprex],SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
24 HR nifedipine 30 MG Extended Release Oral Tablet,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
0.5 ML vitamin K1 2 MG/ML Injection,VITAMIN K AND OTHER HEMOSTATICS
neostigmine methylsulfate 1 MG/ML Injectable Solution [Bloxiverz],PARASYMPATHOMIMETICS
paroxetine hydrochloride 2 MG/ML Oral Suspension [Paxil],ANTIDEPRESSANTS
metoprolol tartrate 37.5 MG Oral Tablet,BETA BLOCKING AGENTS
24 HR glipizide 2.5 MG Extended Release Oral Tablet,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
quinidine gluconate 80 MG/ML Injectable Solution,ALL OTHER THERAPEUTIC PRODUCTS
Quinine Sulfate 324 MG Oral Capsule [Qualaquin],ANTIMALARIALS
chloramphenicol 100 MG/ML Injectable Solution,AMPHENICOLS
5 ML cyclosporine 50 MG/ML Injection [Sandimmune],IMMUNOSUPPRESSANTS
cyclosporine 100 MG Oral Capsule [Sandimmune],IMMUNOSUPPRESSANTS
"cyclosporine, modified 100 MG Oral Capsule [Neoral]",IMMUNOSUPPRESSANTS
40 ML methotrexate 25 MG/ML Injection,ANTIMETABOLITES
ganciclovir 500 MG Injection,DIRECT ACTING ANTIVIRALS
prednisone 5 MG/ML Oral Solution,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
atovaquone 150 MG/ML Oral Suspension [Mepron],AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES
misoprostol 0.1 MG Oral Tablet [Cytotec],DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
finasteride 1 MG Oral Tablet [Propecia],OTHER DERMATOLOGICAL PREPARATIONS in ATC
aztreonam 1000 MG Injection,OTHER BETA-LACTAM ANTIBACTERIALS in ATC
medroxyprogesterone acetate 10 MG Oral Tablet [Provera],PROGESTOGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
terazosin 1 MG Oral Capsule,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY
Phenytoin sodium 30 MG Extended Release Capsule [Dilantin],ANTIEPILEPTICS
Nicardipine hydrochloride 2.5 MG/ML Injectable Solution [Cardene],SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
24 HR diltiazem hydrochloride 180 MG Extended Release Oral Capsule [Taztia],SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS
Amoxicillin 500 MG / clavulanate potassium 125 MG Oral Tablet [Augmentin 500-mg],"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
alteplase 100 MG Injection [Activase],ANTITHROMBOTIC AGENTS
30 ML acetylcysteine 200 MG/ML Injection,ALL OTHER THERAPEUTIC PRODUCTS
perphenazine 2 MG Oral Tablet,ANTIPSYCHOTICS
perphenazine 8 MG Oral Tablet,ANTIPSYCHOTICS
prazosin 5 MG Oral Capsule,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING"
Bacitracin 0.5 UNT/MG Ophthalmic Ointment,ANTIBIOTICS FOR TOPICAL USE
topiramate 100 MG Oral Tablet,ANTIEPILEPTICS
aluminum sulfate 8.42 MG/ML / calcium acetate 5.95 MG/ML Topical Solution [Domeboro],VITAMIN K AND OTHER HEMOSTATICS
dapsone 100 MG Oral Tablet,DRUGS FOR TREATMENT OF LEPRA
emtricitabine 10 MG/ML Oral Solution [Emtriva],DIRECT ACTING ANTIVIRALS
Acyclovir 200 MG Oral Capsule [Zovirax],DIRECT ACTING ANTIVIRALS
Naproxen 375 MG Oral Tablet,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
olanzapine 10 MG Injection,ANTIPSYCHOTICS
amiloride hydrochloride 5 MG Oral Tablet,POTASSIUM-SPARING DIURETICS
Fluvoxamine Maleate 50 MG Oral Tablet,ANTIDEPRESSANTS
Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML Injectable Suspension [Havrix],VIRAL VACCINES
morphine sulfate 30 MG Oral Tablet,OPIOID ANALGESICS
liothyronine sodium 0.005 MG Oral Tablet [Cytomel],THYROID PREPARATIONS
Methylprednisolone 40 MG/ML Injectable Solution [Solu-Medrol],"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
moexipril hydrochloride 7.5 MG Oral Tablet [Univasc],"ACE INHIBITORS, PLAIN"
paclitaxel 6 MG/ML Injectable Solution,"PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS, ANTINEOPLASTIC DRUGS"
ifosfamide 1000 MG Injection,ALKYLATING AGENTS
2 ML magnesium sulfate 500 MG/ML Injection,OTHER MINERAL SUPPLEMENTS in ATC
cisplatin 1 MG/ML Injectable Solution,OTHER ANTINEOPLASTIC AGENTS in ATC
fluocinonide 0.5 MG/ML Topical Cream,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
Sodium Chloride 0.154 MEQ/ML Injectable Solution,I.V. SOLUTION ADDITIVES
168 HR Clonidine 0.00417 MG/HR Transdermal Patch [Catapres-TTS-1],"ANTIADRENERGIC AGENTS, CENTRALLY ACTING"
"estrogens, conjugated (USP) 0.3 MG Oral Tablet [Premarin]","ESTROGENS, SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM"
mycophenolate mofetil 500 MG Oral Tablet,IMMUNOSUPPRESSANTS
cilostazol 50 MG Oral Tablet,ANTITHROMBOTIC AGENTS
